file_name,steady,increased,decreased
lib/gui/app/app.ts,19,3,2
lib/gui/app/models/available-drives.ts,23,0,1
lib/gui/app/models/flash-state.ts,22,2,0
lib/gui/app/models/leds.ts,19,3,2
lib/gui/app/models/selection-state.ts,23,0,1
lib/gui/app/models/settings.ts,21,2,1
lib/gui/app/models/store.ts,23,1,0
lib/gui/app/modules/analytics.ts,23,0,1
lib/gui/app/modules/drive-scanner.ts,23,1,0
lib/gui/app/modules/exception-reporter.ts,24,0,0
lib/gui/app/modules/image-writer.ts,18,3,3
lib/gui/app/modules/progress-status.ts,23,1,0
lib/gui/app/os/dialog.ts,23,1,0
lib/gui/app/os/notification.ts,24,0,0
lib/gui/app/os/open-external/services/open-external.ts,24,0,0
lib/gui/app/os/window-progress.ts,24,0,0
lib/gui/app/os/windows-network-drives.ts,22,1,1
lib/gui/app/renderer.ts,7,0,0
lib/gui/app/theme.ts,23,1,0
lib/gui/app/utils/middle-ellipsis.ts,24,0,0
lib/gui/etcher.ts,22,1,1
lib/gui/menu.ts,24,0,0
lib/gui/modules/child-writer.ts,20,3,1
lib/shared/catalina-sudo/sudo.ts,23,1,0
lib/shared/drive-constraints.ts,21,3,0
lib/shared/errors.ts,23,0,1
lib/shared/exit-codes.ts,24,0,0
lib/shared/messages.ts,21,1,2
lib/shared/permissions.ts,22,1,1
lib/shared/supported-formats.ts,24,0,0
lib/shared/tmp.ts,12,0,1
lib/shared/units.ts,23,0,1
lib/shared/utils.ts,22,1,1
lib/start.ts,0,0,0
scripts/clean-shrinkwrap.ts,22,2,0
webpack.config.ts,17,5,2
webpack.dev.config.ts,7,0,0
