file_name,steady,increased,decreased
file-icons-generator.js,8,1,0
prebuild-minify.js,20,4,0
src/_boot.js,19,5,0
src/_multithread.js,10,1,0
src/_renderer.js,13,10,1
src/assets/misc/file-icons-match.js,8,1,0
src/classes/clipboardButtons.class.js,6,0,0
src/classes/clock.class.js,23,1,0
src/classes/conninfo.class.js,21,2,1
src/classes/cpuinfo.class.js,21,3,0
src/classes/docReader.class.js,3,0,0
src/classes/filesystem.class.js,9,7,2
src/classes/fuzzyFinder.class.js,5,0,0
src/classes/hardwareInspector.class.js,8,1,0
src/classes/keyboard.class.js,16,7,1
src/classes/locationGlobe.class.js,14,2,0
src/classes/mediaPlayer.class.js,1,0,2
src/classes/modal.class.js,17,3,1
src/classes/netstat.class.js,15,5,0
src/classes/ramwatcher.class.js,19,1,0
src/classes/sysinfo.class.js,22,1,1
src/classes/terminal.class.js,12,11,1
src/classes/toplist.class.js,15,1,0
src/classes/updateChecker.class.js,18,0,0
