file_name,steady,increased,decreased
app/src/components/mainWindow.ts,21,2,1
app/src/components/mainWindowHelpers.ts,7,0,0
app/src/components/menu.ts,21,2,1
app/src/components/trayIcon.ts,23,1,0
app/src/helpers/helpers.ts,22,1,1
app/src/helpers/windowEvents.ts,15,1,0
app/src/helpers/windowHelpers.ts,16,0,0
app/src/main.ts,21,2,1
app/src/mocks/electron.ts,15,1,0
src/build/buildNativefierApp.ts,23,1,0
src/build/prepareElectronApp.ts,20,2,2
src/cli.ts,22,2,0
src/helpers/helpers.ts,22,2,0
src/helpers/upgrade/executableHelpers.ts,20,0,0
src/helpers/upgrade/upgrade.ts,20,0,0
src/infer/browsers/inferChromeVersion.ts,16,0,0
src/infer/browsers/inferFirefoxVersion.ts,16,0,0
src/infer/browsers/inferSafariVersion.ts,15,1,0
src/infer/inferIcon.ts,24,0,0
src/infer/inferTitle.ts,24,0,0
src/infer/inferUserAgent.ts,7,0,0
src/options/fields/name.ts,23,1,0
src/options/normalizeUrl.ts,23,0,1
src/options/optionsMain.ts,23,0,1
