file_name,steady,increased,decreased
__fixtures__/middlewares/en.js,9,0,0
__fixtures__/middlewares/jp.js,9,0,0
__fixtures__/middlewares/postbody.js,9,0,0
__fixtures__/seed.js,9,0,0
bin/index.js,14,1,0
postinstall.js,3,1,0
public/script.js,2,1,0
src/cli/bin.js,23,1,0
src/cli/index.js,23,1,0
src/cli/run.js,17,3,4
src/cli/utils/is.js,24,0,0
src/cli/utils/load.js,20,4,0
src/front/index.js,4,1,0
src/front/script.js,0,0,0
src/server/body-parser.js,24,0,0
src/server/defaults.js,20,2,2
src/server/index.js,24,0,0
src/server/mixins.js,20,2,2
src/server/public/main.js,9,0,1
src/server/rewriter.js,20,3,1
src/server/router/delay.js,11,0,0
src/server/router/get-full-url.js,21,0,0
src/server/router/index.js,19,3,2
src/server/router/nested.js,20,3,1
src/server/router/plural.js,15,6,3
src/server/router/singular.js,21,3,0
src/server/router/validate-data.js,22,1,1
src/server/router/write.js,21,0,0
src/server/utils.js,23,0,1
webpack.config.js,5,0,0
