project,commit_hash,file_name,loc
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,custom.d.ts,20
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,build.ts,220
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,build/webpack.config.l10n.ts,20
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,build/webpack.config.plugins.ts,39
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,build/webpack.config.style.ts,60
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,build/webpack.config.ts,22
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,build/webpack.config.base.ts,87
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,build/webpack.config.main.ts,25
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/typings.d.ts,33
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/index.ts,2098
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/da.ts,61
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/fa.ts,58
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/pa.ts,55
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/de.ts,60
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/cy.ts,82
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/be.ts,65
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/ar.ts,42
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/sk.ts,60
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/it.ts,61
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/bn.ts,55
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/es.ts,59
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/ro.ts,59
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/eo.ts,63
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/vn.ts,56
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/tr.ts,64
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/gr.ts,64
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/sv.ts,60
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/uk.ts,56
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/zh.ts,59
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/hi.ts,55
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/fr.ts,64
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/nl.ts,64
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/cs.ts,65
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/sr.ts,58
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/hu.ts,62
flatpickr,7f698f8e22572dc91f26b92082984365095064ef,src/l10n/default.ts,68
