project,commit_hash,file_name,loc
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,jisonLoader.js,5
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,jisonTransformer.js,8
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,jest.config.js,12
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,webpack.config.base.js,59
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,webpack.config.babel.js,7
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,babel.config.js,10
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,webpack.config.prod.babel.js,5
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,webpack.config.e2e.js,61
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,transformer.js,3
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,__mocks__/MERMAID.js,3
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,__mocks__/d3.js,52
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,cypress/plugins/index.js,21
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,cypress/integration/other/xss.spec.js,28
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,cypress/integration/other/configuration.spec.js,95
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,cypress/integration/other/webpackUsage.spec.js,18
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,cypress/integration/other/rerender.spec.js,19
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,cypress/integration/other/interaction.spec.js,234
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,cypress/integration/rendering/gitGraph.spec.js,20
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,cypress/integration/rendering/stateDiagram-v2.spec.js,342
mermaid,4c38b1a776d83a00e12dd820b1bee455c3954e3c,cypress/integration/rendering/flowchart-v2.spec.js,46
