,LL,LPL,D,LM,ACS,CSC,CC,LF,MN,RC,CE,SV,EF,DS,WE,UC,UA,OBI,OVF,SC,IF,IE,UO,IR,DF
LL,0.0,0.000980175166787871,0.011445916463780946,0.013216555474752584,0.006892844721282448,0.0004742783065102602,0.025832358427925507,0.005975906662029279,0.03408480096120403,0.0042052676510576405,0.008663483732254087,0.014923957378189521,0.0023713915325513013,0.019129225029247163,0.0060391437695639805,0.00012647421506940273,0.004774401618869953,0.0013279792582287285,0.0012647421506940273,0.0,3.161855376735068e-05,0.0022132987637145476,0.00025294843013880545,0.015587947007303886,0.006133999430866032
LPL,0.000980175166787871,0.0,0.004236886204824992,0.0035412780219432763,0.0034148038068738734,0.0,0.00834729819458058,0.00041104119897555886,0.010434122743225725,0.0003161855376735068,0.003667752237012679,0.006323710753470136,0.000695608182881715,0.0025294843013880545,0.0017074019034369367,0.0,0.000695608182881715,0.000695608182881715,0.0,0.0,0.0,0.0,0.00025294843013880545,0.005691339678123123,0.00012647421506940273
D,0.011445916463780946,0.004236886204824992,0.0,0.02459923483099883,0.01536661713093243,0.0003794226452082082,0.08944888860783508,0.0055016283555190185,0.07329180763271888,0.010339267081923674,0.026717677933411326,0.04170487241913555,0.00973851456034401,0.024820564707370284,0.010465741296993075,0.0009169380592531697,0.009390710468903152,0.004110411989755589,0.000790463844183767,0.0,0.0016125462421348847,0.001991968887343093,0.0,0.029025832358427924,0.004837638726404654
LM,0.013216555474752584,0.0035412780219432763,0.02459923483099883,0.0,0.010244411420621621,0.0004742783065102602,0.03927024377904954,0.005722958231890473,0.049546273753438515,0.010402504189458374,0.014671008948050715,0.019761596104594176,0.0030353811616656654,0.026844152148480727,0.008695102286021437,0.0009169380592531697,0.011793720555221805,0.0012331235969266765,0.0009169380592531697,0.0,3.161855376735068e-05,0.0020552059948777943,0.00025294843013880545,0.018781420937806305,0.008094349764441774
ACS,0.006892844721282448,0.0034148038068738734,0.01536661713093243,0.010244411420621621,0.0,0.0004742783065102602,0.022955070035096593,0.0036993707907800296,0.03702532646156765,0.004236886204824992,0.01109811237234009,0.019888070319663578,0.002655958516457457,0.006639896291143643,0.011224586587409493,0.00012647421506940273,0.005912669554494578,0.003667752237012679,0.00325671103803712,0.0,3.161855376735068e-05,0.0008220823979511177,0.00025294843013880545,0.02507351313750909,0.003667752237012679
CSC,0.0004742783065102602,0.0,0.0003794226452082082,0.0004742783065102602,0.0004742783065102602,0.0,0.0012647421506940273,0.0004742783065102602,0.0004742783065102602,0.0,0.0001897113226041041,0.0004742783065102602,0.0,0.0004742783065102602,9.485566130205204e-05,0.0,9.485566130205204e-05,0.0,0.0,0.0,0.0,0.0004742783065102602,0.0,0.0003161855376735068,0.0004742783065102602
CC,0.025832358427925507,0.00834729819458058,0.08944888860783508,0.03927024377904954,0.022955070035096593,0.0012647421506940273,0.0,0.007999494103139722,0.17108799443513453,0.02459923483099883,0.059664210958990736,0.08027950801530338,0.016789452050463213,0.058367850254529355,0.030511904385493407,0.0017074019034369367,0.0185917096152022,0.009928225882948115,0.003446422360641224,0.0,0.0024030100863186516,0.004110411989755589,0.00025294843013880545,0.06658867423404054,0.011414297910013596
LF,0.005975906662029279,0.00041104119897555886,0.0055016283555190185,0.005722958231890473,0.0036993707907800296,0.0004742783065102602,0.007999494103139722,0.0,0.007082556043886553,0.0022132987637145476,0.006861226167515098,0.006639896291143643,0.0015493091346001834,0.0064185664147721885,0.0028456698390615614,0.00012647421506940273,0.003098618269200367,0.0018654946722736902,0.000790463844183767,0.0,3.161855376735068e-05,0.0006007525215796629,0.0,0.006576659183608942,0.0033515666993391723
MN,0.03408480096120403,0.010434122743225725,0.07329180763271888,0.049546273753438515,0.03702532646156765,0.0004742783065102602,0.17108799443513453,0.007082556043886553,0.0,0.042843140354760174,0.0530875517753818,0.11819015398235684,0.02453599772346413,0.09150409460271287,0.03408480096120403,0.0017074019034369367,0.034559079267714295,0.014702627501818067,0.005691339678123123,0.0,0.0008220823979511177,0.009896607329180762,0.00025294843013880545,0.11057008252442534,0.016915926265532615
RC,0.0042052676510576405,0.0003161855376735068,0.010339267081923674,0.010402504189458374,0.004236886204824992,0.0,0.02459923483099883,0.0022132987637145476,0.042843140354760174,0.0,0.0046163088500332,0.018338761185063394,0.002940525500363613,0.016789452050463213,0.008631865178486737,0.001580927688367534,0.012046668985360609,0.0,0.0022132987637145476,0.0,3.161855376735068e-05,0.0009169380592531697,0.0,0.01252094729187087,0.006386947861004837
