project,created_at,stargazers_count,forks_count,contributors_count,commits_count,tags_count,js_ratio,ts_ratio
d3/d3,2010,99.6k,22.9k,121,4.3k,284,100.0%,-
facebook/create-react-app,2016,92.4k,23.4k,465,2.7k,406,98.3%,0.1%
axios/axios,2014,89.8k,9.0k,275,1.1k,53,93.4%,3.8%
typicode/json-server,2013,58.4k,5.6k,64,0.8k,125,95.9%,-
chartjs/Chart.js,2013,55.6k,11.3k,380,4.1k,88,98.4%,1.3%
jquery/jquery,2009,55.6k,20.2k,284,6.5k,153,93.6%,-
expressjs/express,2009,55.3k,9.3k,250,5.6k,280,99.9%,-
tailwindlabs/tailwindcss,2017,50.6k,2.4k,189,4.4k,188,77.4%,-
serverless/serverless,2015,41.5k,5.0k,359,14.7k,317,97.0%,0.2%
yarnpkg/yarn,2016,40.3k,2.8k,453,2.3k,170,98.7%,-
nuxt/nuxt.js,2016,39.0k,3.2k,302,5.6k,156,95.1%,0.2%
mermaid-js/mermaid,2014,39.0k,2.9k,266,4.2k,95,69.2%,-
Dogfalo/materialize,2014,38.6k,4.9k,247,3.9k,44,71.9%,-
nwjs/nw.js,2012,38.6k,3.9k,103,4.6k,304,42.8%,-
iamkun/dayjs,2018,37.4k,1.8k,268,1.4k,106,100.0%,-
GitSquared/edex-ui,2017,34.8k,1.9k,55,1.4k,31,87.8%,-
hexojs/hexo,2012,33.9k,4.2k,153,3.5k,144,100.0%,-
alvarotrigo/fullPage.js,2013,33.0k,7.4k,127,1.9k,76,93.2%,-
koajs/koa,2013,32.1k,3.1k,201,1.1k,95,100.0%,-
quilljs/quill,2012,31.6k,2.7k,122,5.2k,140,95.2%,-
zenorocha/clipboard.js,2015,31.5k,4.0k,54,0.4k,39,99.1%,0.6%
lerna/lerna,2015,31.1k,2.0k,252,2.2k,180,99.8%,-
preactjs/preact,2015,30.5k,1.7k,272,4.9k,184,95.9%,2.6%
nolimits4web/swiper,2012,29.5k,9.6k,204,2.9k,231,77.8%,10.2%
carbon-app/carbon,2017,29.3k,1.6k,157,1.7k,210,99.9%,-
webtorrent/webtorrent,2013,25.5k,2.5k,149,3.0k,377,99.7%,-
request/request,2011,25.4k,3.1k,281,2.3k,144,99.0%,-
ramda/ramda,2013,21.5k,1.4k,274,2.9k,52,99.8%,-
bower/bower,2012,15.1k,2.0k,206,2.8k,113,100.0%,-
riot/riot,2013,14.6k,1.0k,173,3.8k,253,98.6%,0.4%
