,LL,LPL,D,LM,ACS,CSC,CC,LF,MN,RC,CE,SV,EF,DS,WE,UC,UA,OBI,OVF,OSC,IF,IE,UO,IR,DF
LL,-,0.1%,1.1%,1.3%,0.7%,-,2.6%,0.6%,3.4%,0.4%,0.9%,1.5%,0.2%,1.9%,0.6%,-,0.5%,0.1%,0.1%,-,-,0.2%,-,1.6%,0.6%
LPL,0.1%,-,0.4%,0.4%,0.3%,-,0.8%,-,1.0%,-,0.4%,0.6%,0.1%,0.3%,0.2%,-,0.1%,0.1%,-,-,-,-,-,0.6%,-
D,1.1%,0.4%,-,2.5%,1.5%,-,8.9%,0.6%,7.3%,1.0%,2.7%,4.2%,1.0%,2.5%,1.0%,0.1%,0.9%,0.4%,0.1%,-,0.2%,0.2%,-,2.9%,0.5%
LM,1.3%,0.4%,2.5%,-,1.0%,-,3.9%,0.6%,5.0%,1.0%,1.5%,2.0%,0.3%,2.7%,0.9%,0.1%,1.2%,0.1%,0.1%,-,-,0.2%,-,1.9%,0.8%
ACS,0.7%,0.3%,1.5%,1.0%,-,-,2.3%,0.4%,3.7%,0.4%,1.1%,2.0%,0.3%,0.7%,1.1%,-,0.6%,0.4%,0.3%,-,-,0.1%,-,2.5%,0.4%
CSC,-,-,-,-,-,-,0.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CC,2.6%,0.8%,8.9%,3.9%,2.3%,0.1%,-,0.8%,17.1%,2.5%,6.0%,8.0%,1.7%,5.8%,3.1%,0.2%,1.9%,1.0%,0.3%,-,0.2%,0.4%,-,6.7%,1.1%
LF,0.6%,-,0.6%,0.6%,0.4%,-,0.8%,-,0.7%,0.2%,0.7%,0.7%,0.2%,0.6%,0.3%,-,0.3%,0.2%,0.1%,-,-,0.1%,-,0.7%,0.3%
MN,3.4%,1.0%,7.3%,5.0%,3.7%,-,17.1%,0.7%,-,4.3%,5.3%,11.8%,2.5%,9.2%,3.4%,0.2%,3.5%,1.5%,0.6%,-,0.1%,1.0%,-,11.1%,1.7%
RC,0.4%,-,1.0%,1.0%,0.4%,-,2.5%,0.2%,4.3%,-,0.5%,1.8%,0.3%,1.7%,0.9%,0.2%,1.2%,-,0.2%,-,-,0.1%,-,1.3%,0.6%
CE,0.9%,0.4%,2.7%,1.5%,1.1%,-,6.0%,0.7%,5.3%,0.5%,-,2.6%,0.5%,1.4%,0.8%,-,0.5%,0.5%,0.1%,-,-,-,-,2.4%,0.5%
SV,1.5%,0.6%,4.2%,2.0%,2.0%,-,8.0%,0.7%,11.8%,1.8%,2.6%,-,1.4%,4.0%,1.8%,-,1.4%,1.2%,0.2%,-,0.1%,0.4%,-,6.8%,1.1%
EF,0.2%,0.1%,1.0%,0.3%,0.3%,-,1.7%,0.2%,2.5%,0.3%,0.5%,1.4%,-,1.1%,0.4%,-,0.2%,0.3%,-,-,0.1%,0.1%,-,1.1%,0.3%
DS,1.9%,0.3%,2.5%,2.7%,0.7%,-,5.8%,0.6%,9.2%,1.7%,1.4%,4.0%,1.1%,-,1.3%,-,1.8%,0.3%,0.2%,-,-,0.4%,-,2.9%,1.2%
WE,0.6%,0.2%,1.0%,0.9%,1.1%,-,3.1%,0.3%,3.4%,0.9%,0.8%,1.8%,0.4%,1.3%,-,0.2%,0.9%,0.2%,0.5%,-,-,0.1%,-,2.3%,0.4%
UC,-,-,0.1%,0.1%,-,-,0.2%,-,0.2%,0.2%,-,-,-,-,0.2%,-,0.2%,-,0.1%,-,-,-,-,0.1%,0.1%
UA,0.5%,0.1%,0.9%,1.2%,0.6%,-,1.9%,0.3%,3.5%,1.2%,0.5%,1.4%,0.2%,1.8%,0.9%,0.2%,-,0.3%,0.3%,-,-,-,-,1.4%,0.8%
OBI,0.1%,0.1%,0.4%,0.1%,0.4%,-,1.0%,0.2%,1.5%,-,0.5%,1.2%,0.3%,0.3%,0.2%,-,0.3%,-,0.1%,-,-,-,-,1.8%,0.1%
OVF,0.1%,-,0.1%,0.1%,0.3%,-,0.3%,0.1%,0.6%,0.2%,0.1%,0.2%,-,0.2%,0.5%,0.1%,0.3%,0.1%,-,-,-,0.1%,-,0.4%,0.1%
OSC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IF,-,-,0.2%,-,-,-,0.2%,-,0.1%,-,-,0.1%,0.1%,-,-,-,-,-,-,-,-,-,-,-,-
IE,0.2%,-,0.2%,0.2%,0.1%,-,0.4%,0.1%,1.0%,0.1%,-,0.4%,0.1%,0.4%,0.1%,-,-,-,0.1%,-,-,-,-,0.4%,0.1%
UO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IR,1.6%,0.6%,2.9%,1.9%,2.5%,-,6.7%,0.7%,11.1%,1.3%,2.4%,6.8%,1.1%,2.9%,2.3%,0.1%,1.4%,1.8%,0.4%,-,-,0.4%,-,-,1.0%
DF,0.6%,-,0.5%,0.8%,0.4%,-,1.1%,0.3%,1.7%,0.6%,0.5%,1.1%,0.3%,1.2%,0.4%,0.1%,0.8%,0.1%,0.1%,-,-,0.1%,-,1.0%,-
