project,created_at,stargazers_count,forks_count,contributors_count,commits_count,tags_count,js_ratio,ts_ratio
d3,2010,99.6k,22.9k,121,4.3k,284,100.0%,-
axios,2014,89.8k,9.0k,275,1.1k,53,93.4%,3.8%
json-server,2013,58.4k,5.6k,64,0.8k,125,95.9%,-
jquery,2009,55.6k,20.2k,284,6.5k,153,93.6%,-
Chart.js,2013,55.6k,11.3k,380,4.1k,88,98.4%,1.3%
express,2009,55.3k,9.3k,250,5.6k,280,99.9%,-
tailwindcss,2017,50.6k,2.4k,189,4.4k,188,77.4%,-
serverless,2015,41.5k,5.0k,359,14.7k,317,97.0%,0.2%
yarn,2016,40.3k,2.8k,453,2.3k,170,98.7%,-
hexo,2012,33.9k,4.2k,153,3.5k,144,100.0%,-
webtorrent,2013,25.5k,2.5k,149,3.0k,377,99.7%,-
request,2011,25.4k,3.1k,281,2.3k,144,99.0%,-
ramda,2013,21.5k,1.4k,274,2.9k,52,99.8%,-
bower,2012,15.1k,2.0k,206,2.8k,113,100.0%,-
riot,2013,14.6k,1.0k,173,3.8k,253,98.6%,0.4%
