project,commit_hash,file_name,rule,type,severity,tags
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/utils/window.ts,S3723,CODE_SMELL,MINOR,convention
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/utils/window.ts,S3723,CODE_SMELL,MINOR,convention
Kap,8fd5d3aeb2fcc081538f1061e6dba5bcc6abe980,renderer/utils/window.ts,S3723,CODE_SMELL,MINOR,convention
Kap,8fd5d3aeb2fcc081538f1061e6dba5bcc6abe980,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,8fd5d3aeb2fcc081538f1061e6dba5bcc6abe980,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,8fd5d3aeb2fcc081538f1061e6dba5bcc6abe980,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,8fd5d3aeb2fcc081538f1061e6dba5bcc6abe980,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,8fd5d3aeb2fcc081538f1061e6dba5bcc6abe980,renderer/utils/window.ts,S3723,CODE_SMELL,MINOR,convention
Kap,ae6c0241199189360a62f4c73c8309bc7fb68924,renderer/utils/window.ts,S3723,CODE_SMELL,MINOR,convention
Kap,ae6c0241199189360a62f4c73c8309bc7fb68924,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,ae6c0241199189360a62f4c73c8309bc7fb68924,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,ae6c0241199189360a62f4c73c8309bc7fb68924,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,ae6c0241199189360a62f4c73c8309bc7fb68924,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,ae6c0241199189360a62f4c73c8309bc7fb68924,renderer/utils/window.ts,S3723,CODE_SMELL,MINOR,convention
Kap,b1bcc4b7b765fd626c5d593d8b6a3b8ea4ca5ca8,renderer/utils/window.ts,S3723,CODE_SMELL,MINOR,convention
Kap,b1bcc4b7b765fd626c5d593d8b6a3b8ea4ca5ca8,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,b1bcc4b7b765fd626c5d593d8b6a3b8ea4ca5ca8,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,b1bcc4b7b765fd626c5d593d8b6a3b8ea4ca5ca8,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,b1bcc4b7b765fd626c5d593d8b6a3b8ea4ca5ca8,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,b1bcc4b7b765fd626c5d593d8b6a3b8ea4ca5ca8,renderer/utils/window.ts,S3723,CODE_SMELL,MINOR,convention
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,renderer/utils/window.ts,S3723,CODE_SMELL,MINOR,convention
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,renderer/utils/window.ts,S109,CODE_SMELL,MAJOR,brain-overload
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,renderer/utils/window.ts,S3723,CODE_SMELL,MINOR,convention
