project,commit_hash,file_name,rule,type,severity,tags
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/adapters/http.js,S1451,CODE_SMELL,BLOCKER,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/adapters/http.js,S3776,CODE_SMELL,CRITICAL,brain-overload
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/adapters/http.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/utils.js,S1451,CODE_SMELL,BLOCKER,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/utils.js,S3798,CODE_SMELL,MAJOR,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/utils.js,S109,CODE_SMELL,MAJOR,brain-overload
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/utils.js,S3498,CODE_SMELL,MINOR,convention|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/utils.js,S3498,CODE_SMELL,MINOR,convention|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/utils.js,S3723,CODE_SMELL,MINOR,convention
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/core/Axios.js,S1451,CODE_SMELL,BLOCKER,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/core/mergeConfig.js,S1451,CODE_SMELL,BLOCKER,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/core/mergeConfig.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/core/mergeConfig.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/core/mergeConfig.js,S126,CODE_SMELL,CRITICAL,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/core/mergeConfig.js,S126,CODE_SMELL,CRITICAL,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/core/mergeConfig.js,S126,CODE_SMELL,CRITICAL,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/core/mergeConfig.js,S126,CODE_SMELL,CRITICAL,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/core/mergeConfig.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/core/mergeConfig.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/utils.js,S3798,CODE_SMELL,MAJOR,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/utils.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/utils.js,S3798,CODE_SMELL,MAJOR,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/utils.js,S3498,CODE_SMELL,MINOR,convention|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,sandbox/server.js,S1451,CODE_SMELL,BLOCKER,
axios,0d8765562401910c1c509f6739a3bc558721e123,sandbox/server.js,S106,CODE_SMELL,MAJOR,bad-practice|owasp-a3|user-experience
axios,0d8765562401910c1c509f6739a3bc558721e123,sandbox/server.js,S3524,CODE_SMELL,MINOR,convention|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,sandbox/server.js,S106,CODE_SMELL,MAJOR,bad-practice|owasp-a3|user-experience
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/adapters/xhr.js,S1451,CODE_SMELL,BLOCKER,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/adapters/xhr.js,S3776,CODE_SMELL,CRITICAL,brain-overload
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/adapters/xhr.js,S1541,CODE_SMELL,CRITICAL,brain-overload
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/adapters/xhr.js,S139,CODE_SMELL,MINOR,convention
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/defaults.js,S1451,CODE_SMELL,BLOCKER,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/defaults.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/defaults.js,S3798,CODE_SMELL,MAJOR,
axios,0d8765562401910c1c509f6739a3bc558721e123,lib/adapters/xhr.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
