project,commit_hash,file_name,rule,type,severity,tags
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/cheerio.js,S1451,CODE_SMELL,BLOCKER,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/cheerio.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/cheerio.js,S3798,CODE_SMELL,MAJOR,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/cheerio.js,S3776,CODE_SMELL,CRITICAL,brain-overload
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/cheerio.js,S1541,CODE_SMELL,CRITICAL,brain-overload
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/cheerio.js,S1774,CODE_SMELL,MAJOR,brain-overload
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/parse.js,S1451,CODE_SMELL,BLOCKER,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/parse.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/parse.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/parse.js,S3798,CODE_SMELL,MAJOR,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/parse.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/parse.js,S3798,CODE_SMELL,MAJOR,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/parse.js,S121,CODE_SMELL,CRITICAL,pitfall
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/render.js,S1451,CODE_SMELL,BLOCKER,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/render.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/render.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/render.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/render.js,S3798,CODE_SMELL,MAJOR,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/render.js,S3776,CODE_SMELL,CRITICAL,brain-overload
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/render.js,S121,CODE_SMELL,CRITICAL,pitfall
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/traversing.js,S1451,CODE_SMELL,BLOCKER,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/traversing.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/traversing.js,S3798,CODE_SMELL,MAJOR,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/traversing.js,S1774,CODE_SMELL,MAJOR,brain-overload
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S1451,CODE_SMELL,BLOCKER,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S3798,CODE_SMELL,MAJOR,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S1526,CODE_SMELL,BLOCKER,pitfall
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S3798,CODE_SMELL,MAJOR,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S3798,CODE_SMELL,MAJOR,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S1774,CODE_SMELL,MAJOR,brain-overload
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/attributes.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/manipulation.js,S1451,CODE_SMELL,BLOCKER,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/api/manipulation.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/cheerio.js,S1526,CODE_SMELL,BLOCKER,pitfall
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/cheerio.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/cheerio.js,S3798,CODE_SMELL,MAJOR,
cheerio,dab9e9ecb5ed652c37f037325e0ddcbb0a25968e,lib/static.js,S1451,CODE_SMELL,BLOCKER,
