project,commit_hash,file_name,rule,type,severity,tags
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,package.js,S1451,CODE_SMELL,BLOCKER,
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,package.js,S1441,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S1451,CODE_SMELL,BLOCKER,
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S3353,CODE_SMELL,CRITICAL,es2015
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S1874,CODE_SMELL,MINOR,cwe|obsolete
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S1774,CODE_SMELL,MAJOR,brain-overload
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S1440,CODE_SMELL,MAJOR,suspicious
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard.js,S1451,CODE_SMELL,BLOCKER,
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard.js,S3798,CODE_SMELL,MAJOR,
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,karma.conf.js,S1451,CODE_SMELL,BLOCKER,
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,karma.conf.js,S3723,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S1774,CODE_SMELL,MAJOR,brain-overload
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,package.js,S1441,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,package.js,S1441,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard.js,S3498,CODE_SMELL,MINOR,convention|es2015
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard.js,S3524,CODE_SMELL,MINOR,convention|es2015
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,package.js,S1441,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,package.js,S1441,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,package.js,S1441,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,package.js,S3723,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard.js,S1774,CODE_SMELL,MAJOR,brain-overload
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard.js,S1774,CODE_SMELL,MAJOR,brain-overload
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard.js,S1774,CODE_SMELL,MAJOR,brain-overload
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard.js,S3801,CODE_SMELL,MAJOR,api-design|confusing
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard.js,S3801,CODE_SMELL,MAJOR,api-design|confusing
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard.js,S3723,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S1105,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,karma.conf.js,S3723,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,karma.conf.js,S3723,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,karma.conf.js,S3723,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,karma.conf.js,S1438,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S1105,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S126,CODE_SMELL,CRITICAL,
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S1874,CODE_SMELL,MINOR,cwe|obsolete
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S1105,CODE_SMELL,MINOR,convention
clipboard.js,0149e1de5e04055b58556b4dca5a2b9235de74b2,src/clipboard-action.js,S3723,CODE_SMELL,MINOR,convention
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,package.js,S1451,CODE_SMELL,BLOCKER,
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,package.js,S1441,CODE_SMELL,MINOR,convention
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,src/clipboard-action.js,S1451,CODE_SMELL,BLOCKER,
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,src/clipboard-action.js,S1874,CODE_SMELL,MINOR,cwe|obsolete
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,src/clipboard-action.js,S3353,CODE_SMELL,CRITICAL,es2015
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,src/clipboard-action.js,S1774,CODE_SMELL,MAJOR,brain-overload
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,src/clipboard-action.js,S1440,CODE_SMELL,MAJOR,suspicious
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,src/clipboard.js,S1451,CODE_SMELL,BLOCKER,
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,src/clipboard.js,S3798,CODE_SMELL,MAJOR,
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,karma.conf.js,S1451,CODE_SMELL,BLOCKER,
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,karma.conf.js,S3723,CODE_SMELL,MINOR,convention
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,src/clipboard-action.js,S1774,CODE_SMELL,MAJOR,brain-overload
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,package.js,S1441,CODE_SMELL,MINOR,convention
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,package.js,S1441,CODE_SMELL,MINOR,convention
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,src/clipboard.js,S3498,CODE_SMELL,MINOR,convention|es2015
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,src/clipboard.js,S3524,CODE_SMELL,MINOR,convention|es2015
clipboard.js,26a9e9d56ccb7241c3a60fc7003e0fd48d77dd44,package.js,S1441,CODE_SMELL,MINOR,convention
