project,commit_hash,file_name,rule,type,severity,tags
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/base.ts,S1451,CODE_SMELL,BLOCKER,
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/base.ts,S1537,CODE_SMELL,MINOR,cross-browser
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/base.ts,S1537,CODE_SMELL,MINOR,cross-browser
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/base.ts,S1541,CODE_SMELL,CRITICAL,brain-overload
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/base.ts,S1774,CODE_SMELL,MAJOR,brain-overload
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/base.ts,S1774,CODE_SMELL,MAJOR,brain-overload
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/base.ts,S1774,CODE_SMELL,MAJOR,brain-overload
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/base.ts,S1774,CODE_SMELL,MAJOR,brain-overload
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/base.ts,S1537,CODE_SMELL,MINOR,cross-browser
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/server/routes.ts,S1451,CODE_SMELL,BLOCKER,
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/utils.ts,S1451,CODE_SMELL,BLOCKER,
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/utils.ts,S1488,CODE_SMELL,MINOR,clumsy
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/utils.ts,S1537,CODE_SMELL,MINOR,cross-browser
docusaurus,0584407257e8408234aa81969d7d9b85e7516f31,packages/docusaurus/src/webpack/utils.ts,S1537,CODE_SMELL,MINOR,cross-browser
