project,commit_hash,file_name,rule,type,severity,tags
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/app.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/renderer.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/renderer.ts,S105,CODE_SMELL,MINOR,convention
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.config.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.config.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.config.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.config.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.config.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.config.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.dev.config.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.dev.config.ts,S2208,CODE_SMELL,CRITICAL,es2015|pitfall
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.dev.config.ts,S105,CODE_SMELL,MINOR,convention
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.dev.config.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.dev.config.ts,S3524,CODE_SMELL,MINOR,convention|es2015
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.dev.config.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/modules/image-writer.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/shared/catalina-sudo/sudo.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/shared/utils.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/shared/utils.ts,S1774,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/shared/utils.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,scripts/clean-shrinkwrap.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.config.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,webpack.config.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/etcher.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/os/windows-network-drives.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/modules/child-writer.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/modules/child-writer.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/shared/permissions.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/shared/permissions.ts,S4326,CODE_SMELL,MINOR,redundant
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/flash-state.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/flash-state.ts,S2208,CODE_SMELL,CRITICAL,es2015|pitfall
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/modules/image-writer.ts,S4123,CODE_SMELL,CRITICAL,confusing
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/modules/image-writer.ts,S4123,CODE_SMELL,CRITICAL,confusing
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/modules/image-writer.ts,S4123,CODE_SMELL,CRITICAL,confusing
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/modules/image-writer.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/shared/messages.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/shared/messages.ts,S3524,CODE_SMELL,MINOR,convention|es2015
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S109,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S109,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S109,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S109,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S109,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S109,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S109,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S109,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/settings.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S109,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S109,CODE_SMELL,MAJOR,brain-overload
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S1066,CODE_SMELL,MAJOR,clumsy
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/models/leds.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/modules/image-writer.ts,S4326,CODE_SMELL,MINOR,redundant
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/modules/image-writer.ts,S4204,CODE_SMELL,MAJOR,pitfall
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/modules/image-writer.ts,S3524,CODE_SMELL,MINOR,convention|es2015
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/modules/image-writer.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/modules/image-writer.ts,S106,CODE_SMELL,MAJOR,bad-practice|owasp-a3|user-experience
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/app/theme.ts,S1451,CODE_SMELL,BLOCKER,
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/modules/child-writer.ts,S105,CODE_SMELL,MINOR,convention
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/modules/child-writer.ts,S1537,CODE_SMELL,MINOR,cross-browser
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/modules/child-writer.ts,S3499,CODE_SMELL,MINOR,convention|es2015
etcher,ccb08a48f13315de6543058d0a43d1f7b122c5be,lib/gui/modules/child-writer.ts,S4325,CODE_SMELL,MINOR,redundant
