project,commit_hash,file_name,rule,type,severity,tags
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S1451,CODE_SMELL,BLOCKER,
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S3776,CODE_SMELL,CRITICAL,brain-overload
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S1541,CODE_SMELL,CRITICAL,brain-overload
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik-native/src/index.ts,S1451,CODE_SMELL,BLOCKER,
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik-native/src/index.ts,S2208,CODE_SMELL,CRITICAL,es2015|pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik-native/src/index.ts,S3723,CODE_SMELL,MINOR,convention
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S3257,CODE_SMELL,MINOR,clumsy|finding
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S3723,CODE_SMELL,MINOR,convention
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S881,CODE_SMELL,MAJOR,
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S1774,CODE_SMELL,MAJOR,brain-overload
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S3353,CODE_SMELL,CRITICAL,es2015
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S139,CODE_SMELL,MINOR,convention
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S3353,CODE_SMELL,CRITICAL,es2015
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S3353,CODE_SMELL,CRITICAL,es2015
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S1774,CODE_SMELL,MAJOR,brain-overload
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S1774,CODE_SMELL,MAJOR,brain-overload
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S3723,CODE_SMELL,MINOR,convention
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S3353,CODE_SMELL,CRITICAL,es2015
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S1774,CODE_SMELL,MAJOR,brain-overload
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S1774,CODE_SMELL,MAJOR,brain-overload
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S2208,CODE_SMELL,CRITICAL,es2015|pitfall
formik,399afc9197863cf795ab78d8efedd950c46ddbf0,packages/formik/src/utils.ts,S4204,CODE_SMELL,MAJOR,pitfall
