project,commit_hash,file_name,rule,type,severity,tags
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1451,CODE_SMELL,BLOCKER,
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S4325,CODE_SMELL,MINOR,redundant
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S4325,CODE_SMELL,MINOR,redundant
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1854,CODE_SMELL,MAJOR,cwe|unused
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1134,CODE_SMELL,MAJOR,cwe
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,153291097c6e4f091e9a799ddb6eec4965cc4b74,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,1611bbb08a88f734e9490b14cfe6afea11a838e0,integrationTests/ts/index.ts,S1451,CODE_SMELL,BLOCKER,
graphql-js,1611bbb08a88f734e9490b14cfe6afea11a838e0,integrationTests/ts/index.ts,S4325,CODE_SMELL,MINOR,redundant
graphql-js,1611bbb08a88f734e9490b14cfe6afea11a838e0,integrationTests/ts/index.ts,S4325,CODE_SMELL,MINOR,redundant
graphql-js,1611bbb08a88f734e9490b14cfe6afea11a838e0,integrationTests/ts/index.ts,S1854,CODE_SMELL,MAJOR,cwe|unused
graphql-js,1611bbb08a88f734e9490b14cfe6afea11a838e0,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
graphql-js,1611bbb08a88f734e9490b14cfe6afea11a838e0,integrationTests/ts/index.ts,S1134,CODE_SMELL,MAJOR,cwe
graphql-js,1611bbb08a88f734e9490b14cfe6afea11a838e0,integrationTests/ts/index.ts,S1537,CODE_SMELL,MINOR,cross-browser
