project,commit_hash,file_name,rule,type,severity,tags
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/index.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/index.ts,S100,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,cli/api.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,cli/api.ts,S4204,CODE_SMELL,MAJOR,pitfall
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,cli/api.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/actions/term-groups.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/containers/header.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/containers/header.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/actions/ui.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/sessions.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/sessions.ts,S1788,CODE_SMELL,MAJOR,es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/sessions.ts,S1541,CODE_SMELL,CRITICAL,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/term-groups.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/term-groups.ts,S100,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/term-groups.ts,S1788,CODE_SMELL,MAJOR,es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/ui.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/ui.ts,S1788,CODE_SMELL,MAJOR,es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/ui.ts,S138,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/ui.ts,S3776,CODE_SMELL,CRITICAL,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/ui.ts,S1541,CODE_SMELL,CRITICAL,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/term-groups.ts,S3317,CODE_SMELL,MINOR,confusing|convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/term-groups.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/open.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/open.ts,S2208,CODE_SMELL,CRITICAL,es2015|pitfall
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/open.ts,S4328,CODE_SMELL,MAJOR,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S4328,CODE_SMELL,MAJOR,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S2208,CODE_SMELL,CRITICAL,es2015|pitfall
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/system-context-menu.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/system-context-menu.ts,S4328,CODE_SMELL,MAJOR,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/system-context-menu.ts,S2208,CODE_SMELL,CRITICAL,es2015|pitfall
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/import.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/index.ts,S117,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/index.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/index.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/index.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/commands.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/commands.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/commands.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config.ts,S106,CODE_SMELL,MAJOR,bad-practice|owasp-a3|user-experience
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/import.ts,S1488,CODE_SMELL,MINOR,clumsy
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/init.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/windows.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/windows.ts,S109,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/windows.ts,S109,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/windows.ts,S109,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/windows.ts,S109,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/config/windows.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/index.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/index.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/index.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menu.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menu.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/help.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/help.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/help.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/help.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/help.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/plugins.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/plugins.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/plugins.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/plugins.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/plugins/install.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/plugins/install.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/plugins/install.ts,S3801,CODE_SMELL,MAJOR,api-design|confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/rpc.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/ui/window.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/ui/window.ts,S1774,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/ui/window.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/ui/window.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/updater.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/updater.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/colors.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,cli/index.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,cli/index.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,cli/index.ts,S3735,CODE_SMELL,CRITICAL,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/actions/ui.ts,S1774,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/actions/ui.ts,S4624,CODE_SMELL,MAJOR,brain-overload|confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/actions/ui.ts,S121,CODE_SMELL,CRITICAL,pitfall
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/effects.ts,S3317,CODE_SMELL,MINOR,confusing|convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/effects.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/object.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/plugins.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/plugins.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/plugins.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/plugins.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/plugins.ts,S3776,CODE_SMELL,CRITICAL,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/utils/plugins.ts,S1541,CODE_SMELL,CRITICAL,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/session.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/session.ts,S4204,CODE_SMELL,MAJOR,pitfall
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/ui/window.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/store/configure-store.dev.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/store/configure-store.prod.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/index.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/index.ts,S4325,CODE_SMELL,MINOR,redundant
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,lib/reducers/index.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/session.ts,S3776,CODE_SMELL,CRITICAL,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/session.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S4328,CODE_SMELL,MAJOR,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S3776,CODE_SMELL,CRITICAL,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S3696,CODE_SMELL,MAJOR,api-design|error-handling
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S1774,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S134,CODE_SMELL,CRITICAL,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S126,CODE_SMELL,CRITICAL,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S1192,CODE_SMELL,CRITICAL,design
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/utils/cli-install.ts,S106,CODE_SMELL,MAJOR,bad-practice|owasp-a3|user-experience
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/session.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/session.ts,S109,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/session.ts,S109,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/session.ts,S109,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/session.ts,S106,CODE_SMELL,MAJOR,bad-practice|owasp-a3|user-experience
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/commands.ts,S3524,CODE_SMELL,MINOR,convention|es2015
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/window.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/window.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menu.ts,S1488,CODE_SMELL,MINOR,clumsy
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/tools.ts,S1451,CODE_SMELL,BLOCKER,
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/commands.ts,S2208,CODE_SMELL,CRITICAL,es2015|pitfall
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/tools.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/tools.ts,S1774,CODE_SMELL,MAJOR,brain-overload
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/tools.ts,S4137,CODE_SMELL,MINOR,confusing
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/tools.ts,S3723,CODE_SMELL,MINOR,convention
hyper,1e64e72797f2fa9984dc29c538dbe1e6ae675f9b,app/menus/menus/tools.ts,S3723,CODE_SMELL,MINOR,convention
