project,commit_hash,file_name,rule,type,severity,tags
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S1451,CODE_SMELL,BLOCKER,
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S106,CODE_SMELL,MAJOR,bad-practice|owasp-a3|user-experience
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S106,CODE_SMELL,MAJOR,bad-practice|owasp-a3|user-experience
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S3776,CODE_SMELL,CRITICAL,brain-overload
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S134,CODE_SMELL,CRITICAL,brain-overload
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S134,CODE_SMELL,CRITICAL,brain-overload
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/server/router/plural.js,S1451,CODE_SMELL,BLOCKER,
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/server/router/plural.js,S3776,CODE_SMELL,CRITICAL,brain-overload
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,bin/index.js,S1451,CODE_SMELL,BLOCKER,
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,bin/index.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,bin/index.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/bin.js,S1451,CODE_SMELL,BLOCKER,
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/bin.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/bin.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/index.js,S1451,CODE_SMELL,BLOCKER,
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/index.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/index.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/index.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/index.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/index.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/index.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/index.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/index.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/index.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S1438,CODE_SMELL,MINOR,convention
json-server,b2bcabb71e273a2b655d71a89a9a4b5378b73450,src/cli/run.js,S3533,CODE_SMELL,MINOR,convention|es2015|obsolete
