project,commit_hash,file_name,rule,type,severity,tags
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S1451,CODE_SMELL,BLOCKER,
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S3776,CODE_SMELL,CRITICAL,brain-overload
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S3798,CODE_SMELL,MAJOR,
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S3801,CODE_SMELL,MAJOR,api-design|confusing
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S103,CODE_SMELL,MAJOR,convention
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S126,CODE_SMELL,CRITICAL,
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S1067,CODE_SMELL,CRITICAL,brain-overload
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S3512,CODE_SMELL,MINOR,clumsy|es2015
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S3723,CODE_SMELL,MINOR,convention
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/utils.js,S1451,CODE_SMELL,BLOCKER,
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/utils.js,S6353,CODE_SMELL,MINOR,regex
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/utils.js,S6353,CODE_SMELL,MINOR,regex
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/utils.js,S6353,CODE_SMELL,MINOR,regex
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S3776,CODE_SMELL,CRITICAL,brain-overload
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,index.js,S1541,CODE_SMELL,CRITICAL,brain-overload
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/utils.js,S3798,CODE_SMELL,MAJOR,
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/utils.js,S139,CODE_SMELL,MINOR,convention
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/utils.js,S909,CODE_SMELL,MINOR,bad-practice
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/multi.js,S1451,CODE_SMELL,BLOCKER,
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/multi.js,S3798,CODE_SMELL,MAJOR,
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/commands.js,S1451,CODE_SMELL,BLOCKER,
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/commands.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
node-redis,1f730a803ae2e6482b21ca7cd1382d380831be08,lib/commands.js,S6353,CODE_SMELL,MINOR,regex
