project,commit_hash,file_name,rule,type,severity,tags
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,devtools/src/devtools.js,S1451,CODE_SMELL,BLOCKER,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,devtools/src/devtools.js,S3798,CODE_SMELL,MAJOR,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,debug/src/debug.js,S1451,CODE_SMELL,BLOCKER,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,debug/src/debug.js,S3798,CODE_SMELL,MAJOR,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,compat/src/render.js,S1451,CODE_SMELL,BLOCKER,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,compat/src/render.js,S3776,CODE_SMELL,CRITICAL,brain-overload
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,compat/src/render.js,S1541,CODE_SMELL,CRITICAL,brain-overload
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,compat/src/render.js,S1440,CODE_SMELL,MAJOR,suspicious
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,compat/src/render.js,S121,CODE_SMELL,CRITICAL,pitfall
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,debug/src/debug.js,S3776,CODE_SMELL,CRITICAL,brain-overload
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,debug/src/debug.js,S2737,CODE_SMELL,MINOR,clumsy|error-handling|finding|unused
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,hooks/src/index.js,S1451,CODE_SMELL,BLOCKER,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,hooks/src/index.js,S3798,CODE_SMELL,MAJOR,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,hooks/src/index.js,S3798,CODE_SMELL,MAJOR,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,hooks/src/index.js,S3798,CODE_SMELL,MAJOR,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/proxy-packages/preact-v8-proxy/index.js,S1451,CODE_SMELL,BLOCKER,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/proxy-packages/preact-v8-proxy/index.js,S125,CODE_SMELL,MAJOR,unused
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/proxy-packages/preact-v8-proxy/index.js,S2208,CODE_SMELL,CRITICAL,es2015|pitfall
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S1451,CODE_SMELL,BLOCKER,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S105,CODE_SMELL,MINOR,convention
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S3723,CODE_SMELL,MINOR,convention
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S1774,CODE_SMELL,MAJOR,brain-overload
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S109,CODE_SMELL,MAJOR,brain-overload
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S109,CODE_SMELL,MAJOR,brain-overload
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S1774,CODE_SMELL,MAJOR,brain-overload
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S3723,CODE_SMELL,MINOR,convention
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S3798,CODE_SMELL,MAJOR,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S1788,CODE_SMELL,MAJOR,es2015
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/bench.js,S106,CODE_SMELL,MAJOR,bad-practice|owasp-a3|user-experience
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/config.js,S1451,CODE_SMELL,BLOCKER,
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/config.js,S2208,CODE_SMELL,CRITICAL,es2015|pitfall
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/config.js,S139,CODE_SMELL,MINOR,convention
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/config.js,S3723,CODE_SMELL,MINOR,convention
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/config.js,S3723,CODE_SMELL,MINOR,convention
preact,042be5e3ebc4c0e58d1d9e3e7a02d4c593573900,benches/scripts/config.js,S3723,CODE_SMELL,MINOR,convention
