project,commit_hash,file_name,rule,type,severity,tags
quill,000b9d964f53b57d14520f43083adf3a25145c11,themes/base.js,S1451,CODE_SMELL,BLOCKER,
quill,000b9d964f53b57d14520f43083adf3a25145c11,themes/base.js,S3498,CODE_SMELL,MINOR,convention|es2015
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/quill.js,S1451,CODE_SMELL,BLOCKER,
quill,000b9d964f53b57d14520f43083adf3a25145c11,themes/bubble.js,S1451,CODE_SMELL,BLOCKER,
quill,000b9d964f53b57d14520f43083adf3a25145c11,themes/bubble.js,S3801,CODE_SMELL,MAJOR,api-design|confusing
quill,000b9d964f53b57d14520f43083adf3a25145c11,themes/bubble.js,S121,CODE_SMELL,CRITICAL,pitfall
quill,000b9d964f53b57d14520f43083adf3a25145c11,themes/snow.js,S3317,CODE_SMELL,MINOR,confusing|convention|es2015
quill,000b9d964f53b57d14520f43083adf3a25145c11,themes/snow.js,S1451,CODE_SMELL,BLOCKER,
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/quill.js,S3353,CODE_SMELL,CRITICAL,es2015
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/quill.js,S3353,CODE_SMELL,CRITICAL,es2015
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/quill.js,S3353,CODE_SMELL,CRITICAL,es2015
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/quill.js,S3353,CODE_SMELL,CRITICAL,es2015
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/quill.js,S3353,CODE_SMELL,CRITICAL,es2015
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/quill.js,S1488,CODE_SMELL,MINOR,clumsy
quill,000b9d964f53b57d14520f43083adf3a25145c11,blots/scroll.js,S1451,CODE_SMELL,BLOCKER,
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/editor.js,S1451,CODE_SMELL,BLOCKER,
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/editor.js,S3353,CODE_SMELL,CRITICAL,es2015
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/quill.js,S3353,CODE_SMELL,CRITICAL,es2015
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/quill.js,S3353,CODE_SMELL,CRITICAL,es2015
quill,000b9d964f53b57d14520f43083adf3a25145c11,core/quill.js,S1774,CODE_SMELL,MAJOR,brain-overload
