project,commit_hash,file_name,rule,type,severity,tags
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,website/pages/en/index.js,S1451,CODE_SMELL,BLOCKER,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,website/pages/en/index.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,website/pages/en/index.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,website/pages/en/versions.js,S1451,CODE_SMELL,BLOCKER,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,website/pages/en/versions.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1451,CODE_SMELL,BLOCKER,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S3798,CODE_SMELL,MAJOR,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S3798,CODE_SMELL,MAJOR,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1451,CODE_SMELL,BLOCKER,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3798,CODE_SMELL,MAJOR,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/hooks/useSelector.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3798,CODE_SMELL,MAJOR,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3798,CODE_SMELL,MAJOR,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3798,CODE_SMELL,MAJOR,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S107,CODE_SMELL,MAJOR,brain-overload
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3801,CODE_SMELL,MAJOR,api-design|confusing
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S121,CODE_SMELL,CRITICAL,pitfall
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1488,CODE_SMELL,MINOR,clumsy
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/components/connectAdvanced.js,S3723,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1451,CODE_SMELL,BLOCKER,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S3798,CODE_SMELL,MAJOR,
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S3353,CODE_SMELL,CRITICAL,es2015
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
react-redux,0b03de10e086ac6e5f91ae18c48f869cf052b4f1,src/utils/Subscription.js,S1438,CODE_SMELL,MINOR,convention
