project,commit_hash,file_name,rule,type,severity,tags
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/modal/src/images.ts,S1451,CODE_SMELL,BLOCKER,
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/modal/src/images.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/modal/src/images.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/modal/src/images.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1451,CODE_SMELL,BLOCKER,
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S3353,CODE_SMELL,CRITICAL,es2015
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S3723,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S3723,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S3723,CODE_SMELL,MINOR,convention
react-router,246edd178c145d14007c29d1e7078687bd21ffc3,examples/custom-filter-link/src/snkrs.ts,S1441,CODE_SMELL,MINOR,convention
