project,commit_hash,file_name,rule,type,severity,tags
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createHTMLMediaHook.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createHTMLMediaHook.ts,S3723,CODE_SMELL,MINOR,convention
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createHTMLMediaHook.ts,S3776,CODE_SMELL,CRITICAL,brain-overload
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useLocalStorage.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useLocalStorage.ts,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createBreakpoint.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createBreakpoint.ts,S1774,CODE_SMELL,MAJOR,brain-overload
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useAudio.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useVideo.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useEvent.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useEvent.ts,S109,CODE_SMELL,MAJOR,brain-overload
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useEvent.ts,S3723,CODE_SMELL,MINOR,convention
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useKey.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useSetState.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useSetState.ts,S3524,CODE_SMELL,MINOR,convention|es2015
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useMeasure.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useWindowScroll.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useWindowScroll.ts,S3524,CODE_SMELL,MINOR,convention|es2015
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useWindowScroll.ts,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useWindowScroll.ts,S1874,CODE_SMELL,MINOR,cwe|obsolete
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useWindowScroll.ts,S1874,CODE_SMELL,MINOR,cwe|obsolete
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useWindowScroll.ts,S1774,CODE_SMELL,MAJOR,brain-overload
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useWindowScroll.ts,S1537,CODE_SMELL,MINOR,cross-browser
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useOrientation.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useOrientation.ts,S1874,CODE_SMELL,MINOR,cwe|obsolete
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createGlobalState.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createGlobalState.ts,S4204,CODE_SMELL,MAJOR,pitfall
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createGlobalState.ts,S4204,CODE_SMELL,MAJOR,pitfall
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createGlobalState.ts,S1774,CODE_SMELL,MAJOR,brain-overload
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createBreakpoint.ts,S1774,CODE_SMELL,MAJOR,brain-overload
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createBreakpoint.ts,S3723,CODE_SMELL,MINOR,convention
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createHTMLMediaHook.ts,S4204,CODE_SMELL,MAJOR,pitfall
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createHTMLMediaHook.ts,S4204,CODE_SMELL,MAJOR,pitfall
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createReducer.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createReducerContext.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createReducerContext.ts,S100,CODE_SMELL,MINOR,convention
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createReducerContext.ts,S1537,CODE_SMELL,MINOR,cross-browser
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createReducerContext.ts,S1774,CODE_SMELL,MAJOR,brain-overload
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createReducerContext.ts,S3723,CODE_SMELL,MINOR,convention
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createStateContext.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/factory/createStateContext.ts,S3723,CODE_SMELL,MINOR,convention
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/misc/hookState.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/misc/hookState.ts,S3723,CODE_SMELL,MINOR,convention
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useAsync.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useAsync.ts,S3723,CODE_SMELL,MINOR,convention
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useAsyncFn.ts,S1451,CODE_SMELL,BLOCKER,
react-use,1dd676ab2f864d43ea229939889cd195b6eb55aa,src/useAsyncRetry.ts,S1451,CODE_SMELL,BLOCKER,
