project,commit_hash,file_name,rule,type,severity,tags
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S1451,CODE_SMELL,BLOCKER,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S104,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3723,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3353,CODE_SMELL,CRITICAL,es2015
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3353,CODE_SMELL,CRITICAL,es2015
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3353,CODE_SMELL,CRITICAL,es2015
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3353,CODE_SMELL,CRITICAL,es2015
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S121,CODE_SMELL,CRITICAL,pitfall
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S121,CODE_SMELL,CRITICAL,pitfall
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3616,BUG,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S121,CODE_SMELL,CRITICAL,pitfall
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S139,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3723,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S139,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S1451,CODE_SMELL,BLOCKER,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S104,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S3776,CODE_SMELL,CRITICAL,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S3723,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S3353,CODE_SMELL,CRITICAL,es2015
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S3353,CODE_SMELL,CRITICAL,es2015
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S3353,CODE_SMELL,CRITICAL,es2015
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S3353,CODE_SMELL,CRITICAL,es2015
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S121,CODE_SMELL,CRITICAL,pitfall
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S121,CODE_SMELL,CRITICAL,pitfall
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S3616,BUG,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S121,CODE_SMELL,CRITICAL,pitfall
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S139,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S3723,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.js,S139,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/core/component.js,S1451,CODE_SMELL,BLOCKER,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/core/component.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/core/component.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/core/component.js,S1438,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/core/component.js,S121,CODE_SMELL,CRITICAL,pitfall
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/core/component.js,S1438,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/core/component.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/core/component.js,S1438,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/core/component.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/core/component.js,S3723,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/riot.js,S1451,CODE_SMELL,BLOCKER,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/riot.js,S1117,CODE_SMELL,MAJOR,pitfall|suspicious
riot,024e807af2f73517baa2a44589d73644d5b83bb5,src/riot.js,S1438,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S3798,CODE_SMELL,MAJOR,
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S1541,CODE_SMELL,CRITICAL,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S139,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S139,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S139,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S139,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S1774,CODE_SMELL,MAJOR,brain-overload
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S139,CODE_SMELL,MINOR,convention
riot,024e807af2f73517baa2a44589d73644d5b83bb5,riot.esm.js,S121,CODE_SMELL,CRITICAL,pitfall
