project,commit_hash,file_name,rule,type,severity,tags
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant/src/submit-bar/index.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant-cli/src/common/manager.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant-cli/src/common/manager.ts,S1774,CODE_SMELL,MAJOR,brain-overload
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant/src/password-input/index.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant/src/nav-bar/index.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/create-vant-cli-app/src/generator.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/create-vant-cli-app/src/generator.ts,S3723,CODE_SMELL,MINOR,convention
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/create-vant-cli-app/src/generator.ts,S3723,CODE_SMELL,MINOR,convention
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/create-vant-cli-app/src/generator.ts,S4624,CODE_SMELL,MAJOR,brain-overload|confusing
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/create-vant-cli-app/src/generator.ts,S3723,CODE_SMELL,MINOR,convention
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant-cli/src/compiler/compile-package.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant-cli/src/compiler/compile-package.ts,S3723,CODE_SMELL,MINOR,convention
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant-cli/src/commands/release.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant/src/cell/index.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant/src/overlay/index.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant/docs/site/use-translate.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant/docs/site/use-translate.ts,S1537,CODE_SMELL,MINOR,cross-browser
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant/src/utils/constant.ts,S1451,CODE_SMELL,BLOCKER,
vant,07df834075bebb2f886138e79856703e6419e5f5,packages/vant/src/utils/create.ts,S1451,CODE_SMELL,BLOCKER,
