project,created_at,forks_count,stargazers_count,watchers_count,open_issues_count,commits_count,contributors_count,tags_count,releases_count,filtered_releases_count,js_ratio,ts_ratio
express,2009-06-26T18:56:01Z,9349,55268,55268,167,5633,250,280,141,242,0.9991533953750223,0
bower,2012-09-07T00:15:39Z,1957,15096,15096,8,2787,206,113,38,97,1.0,0
request,2011-01-23T01:25:14Z,3110,25381,25381,116,2270,281,144,0,143,0.9902523809678225,0
jquery,2009-04-03T15:20:14Z,20185,55647,55647,82,6549,284,153,2,85,0.9356548447712928,0
ramda,2013-06-21T20:32:35Z,1367,21458,21458,334,2916,274,52,24,50,0.9977482440141531,4.975470928323366e-05
hexo,2012-09-23T15:17:08Z,4232,33866,33866,82,3493,153,144,101,134,0.9999221876538639,0
Chart.js,2013-03-17T23:56:36Z,11317,55615,55615,102,4124,380,88,84,47,0.9840000583259481,0.013252141453385416
webtorrent,2013-10-15T08:16:40Z,2479,25532,25532,116,3042,149,377,39,377,0.9973934074574186,0
riot,2013-09-27T05:21:01Z,1033,14585,14585,5,3770,173,253,92,196,0.9856738818663909,0.004092986025414401
d3,2010-09-27T17:22:42Z,22907,99576,99576,3,4320,121,284,176,281,1.0,0
axios,2014-08-18T22:30:27Z,9001,89785,89785,309,1051,275,53,32,49,0.9343728290889375,0.03794964333519714
yarn,2016-01-19T17:39:16Z,2768,40322,40322,1960,2346,453,170,148,144,0.9868401161683138,0
serverless,2015-04-21T03:48:40Z,5044,41540,41540,860,14749,359,317,299,308,0.9702096847965986,0.002493099907863699
tailwindcss,2017-10-06T14:59:14Z,2399,50570,50570,88,4354,189,188,170,124,0.7740144536459788,0
json-server,2013-11-27T13:21:13Z,5641,58440,58440,604,844,64,125,10,122,0.958735989891663,0
formik,2017-06-14T19:50:59Z,2372,28984,28984,655,1702,398,225,170,94,0.05435228250805727,0.925175332133228
socket.io,2010-03-11T18:24:48Z,9935,54898,54898,116,1894,179,155,46,145,0.0004473638268156425,0.9995526361731844
apollo-client,2016-02-26T20:25:00Z,2253,17061,17061,536,10366,423,1134,8,180,0.014926766498038275,0.9850732335019617
xstate,2015-09-14T15:04:15Z,834,18254,18254,240,4354,252,186,124,41,0.01045686111321278,0.9740559296528881
blueprint,2016-10-25T21:17:50Z,1934,18363,18363,661,2189,281,1252,110,40,0.02218819307329405,0.8846325098107349
react-three-fiber,2019-02-25T14:31:51Z,857,16044,16044,14,1942,129,292,7,292,0.005624988935899025,0.9924056010904778
ionic-framework,2013-08-20T23:06:02Z,13475,45775,45775,683,11258,405,299,268,156,0.0849403098716524,0.42750570854396724
hyper,2016-07-01T06:01:21Z,3099,37470,37470,743,2913,253,108,71,54,0.023406287413067165,0.9606565867176045
nativefier,2015-07-05T05:56:42Z,1867,29293,29293,189,1103,116,133,76,131,0.0968233296014501,0.836810077607939
docusaurus,2017-06-20T16:13:53Z,3889,28942,28942,173,4275,464,133,109,51,0.09826745258337226,0.8709977794907907
react-query,2019-09-10T19:23:58Z,1275,24336,24336,32,1414,370,418,296,345,0.006595996312851105,0.9934040036871489
ngx-admin,2016-05-25T10:09:03Z,7384,23282,23282,440,535,31,27,18,27,0.003484167483356426,0.6715639890507249
graphql-js,2015-06-30T12:16:50Z,1908,18245,18245,177,3078,173,147,137,117,0.025077810531980004,0.9733028854518904
upterm,2015-03-22T07:00:24Z,655,19443,19443,220,2998,59,260,187,259,0,0.9619251177114106
etcher,2015-10-27T16:53:23Z,1550,21904,21904,323,2941,64,168,149,143,0.005309551238075514,0.9768072795992596
