,LL,LPL,D,LM,ACS,CSC,CC,LF,MN,RC,CE,SV,EF,DS,WE,UC,UA,OBI,OVF,OSC,IF,IE,UO,IR,DF
LL,-,0.1%,1.0%,0.8%,0.6%,-,1.8%,0.4%,2.3%,0.3%,0.7%,1.4%,0.2%,2.1%,0.2%,-,0.2%,0.1%,-,-,-,0.3%,-,1.0%,0.8%
LPL,0.1%,-,0.2%,-,-,-,0.5%,-,0.6%,0.2%,-,0.3%,0.1%,0.1%,-,-,-,-,-,-,-,-,-,0.4%,-
D,1.0%,0.2%,-,0.6%,1.1%,-,3.9%,0.6%,4.2%,0.6%,1.5%,2.1%,0.6%,0.8%,0.4%,-,0.1%,0.3%,-,-,-,0.2%,-,2.0%,0.2%
LM,0.8%,-,0.6%,-,0.4%,-,1.1%,0.2%,2.0%,0.3%,0.6%,0.7%,0.2%,1.5%,0.3%,-,0.2%,-,-,-,-,0.1%,-,0.4%,0.5%
ACS,0.6%,-,1.1%,0.4%,-,-,1.9%,0.3%,1.7%,0.5%,0.9%,1.3%,0.7%,0.6%,0.4%,-,0.4%,0.4%,-,-,-,0.1%,-,0.8%,0.3%
CSC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CC,1.8%,0.5%,3.9%,1.1%,1.9%,-,-,0.6%,7.8%,1.0%,3.6%,3.8%,0.8%,1.4%,0.9%,-,0.3%,0.5%,0.2%,0.1%,0.2%,0.4%,-,3.2%,0.3%
LF,0.4%,-,0.6%,0.2%,0.3%,-,0.6%,-,0.5%,0.2%,0.6%,0.5%,-,0.3%,0.2%,-,-,0.1%,-,-,-,-,-,0.3%,0.1%
MN,2.3%,0.6%,4.2%,2.0%,1.7%,-,7.8%,0.5%,-,1.9%,3.6%,4.2%,1.3%,3.0%,2.1%,0.2%,0.7%,0.5%,-,0.1%,0.1%,1.0%,-,4.9%,1.2%
RC,0.3%,0.2%,0.6%,0.3%,0.5%,-,1.0%,0.2%,1.9%,-,0.3%,0.6%,0.4%,0.4%,0.7%,-,0.4%,-,-,-,-,-,-,0.8%,0.2%
CE,0.7%,-,1.5%,0.6%,0.9%,-,3.6%,0.6%,3.6%,0.3%,-,1.3%,0.9%,0.7%,0.6%,-,0.2%,0.3%,-,0.1%,0.2%,-,-,1.6%,0.2%
SV,1.4%,0.3%,2.1%,0.7%,1.3%,-,3.8%,0.5%,4.2%,0.6%,1.3%,-,0.3%,0.8%,1.4%,-,0.1%,0.2%,0.2%,-,0.1%,0.2%,-,2.8%,0.3%
EF,0.2%,0.1%,0.6%,0.2%,0.7%,-,0.8%,-,1.3%,0.4%,0.9%,0.3%,-,0.6%,0.3%,-,0.2%,0.1%,-,-,0.2%,0.1%,-,1.2%,0.2%
DS,2.1%,0.1%,0.8%,1.5%,0.6%,-,1.4%,0.3%,3.0%,0.4%,0.7%,0.8%,0.6%,-,0.3%,-,0.3%,0.2%,-,-,-,0.2%,-,1.0%,0.9%
WE,0.2%,-,0.4%,0.3%,0.4%,-,0.9%,0.2%,2.1%,0.7%,0.6%,1.4%,0.3%,0.3%,-,-,0.2%,-,-,-,-,-,-,0.5%,0.4%
UC,-,-,-,-,-,-,-,-,0.2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UA,0.2%,-,0.1%,0.2%,0.4%,-,0.3%,-,0.7%,0.4%,0.2%,0.1%,0.2%,0.3%,0.2%,-,-,0.1%,-,-,-,-,-,0.3%,0.2%
OBI,0.1%,-,0.3%,-,0.4%,-,0.5%,0.1%,0.5%,-,0.3%,0.2%,0.1%,0.2%,-,-,0.1%,-,-,-,-,-,-,0.4%,-
OVF,-,-,-,-,-,-,0.2%,-,-,-,-,0.2%,-,-,-,-,-,-,-,-,-,-,-,-,-
OSC,-,-,-,-,-,-,0.1%,-,0.1%,-,0.1%,-,-,-,-,-,-,-,-,-,-,-,-,0.1%,-
IF,-,-,-,-,-,-,0.2%,-,0.1%,-,0.2%,0.1%,0.2%,-,-,-,-,-,-,-,-,-,-,0.1%,-
IE,0.3%,-,0.2%,0.1%,0.1%,-,0.4%,-,1.0%,-,-,0.2%,0.1%,0.2%,-,-,-,-,-,-,-,-,-,0.2%,0.1%
UO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IR,1.0%,0.4%,2.0%,0.4%,0.8%,-,3.2%,0.3%,4.9%,0.8%,1.6%,2.8%,1.2%,1.0%,0.5%,-,0.3%,0.4%,-,0.1%,0.1%,0.2%,-,-,0.3%
DF,0.8%,-,0.2%,0.5%,0.3%,-,0.3%,0.1%,1.2%,0.2%,0.2%,0.3%,0.2%,0.9%,0.4%,-,0.2%,-,-,-,-,0.1%,-,0.3%,-
