,project,commit_hash,loc,count
0,formik,a640be67b658a4a0fb147c28019a23e292f2cef5,2038,2
1,formik,f4dbc3d7ce8a8c9de317a310954bd1bcfcb2bc44,2056,1
2,formik,1d2c08efb5809114ce8a3fd0f5d17aee2eb7af30,2062,1
3,formik,b81ebd832ebdd01e040055cb6171eb3f2ee52a80,2062,1
4,formik,b2868656c358e4a9804effe4401b7fc6cb04cd8d,2062,1
5,formik,914ccde516e36e40bcc21996bb1b95372b95689b,2062,1
6,formik,dac2544bd0bcd4e7a677becd99515fee0eebe54b,1898,2
7,formik,80a0a34961cdfae5e85208545e55058a5681ac07,2512,2
8,formik,89d41263a5bf6688613e42967cd8a09704cd51de,2512,2
9,formik,127ad2369614af0e49e8cbca8e14cd233774f5ae,2513,2
10,formik,99844fbcff8622a0ca6efa215147b43325c9afdf,2514,2
11,formik,de201d08a70dcb81727f60676963fe9a94db4331,2520,2
12,formik,cb0824a32a49c1f976f2177d64336b037c008272,2520,2
13,formik,6914fb51b0cab6c0e3f59ee65a05398fa4a66952,2523,2
14,formik,8092921e24d25edfc0d29cf378175f747e8be449,2574,2
15,formik,e8dd093dc0d64299a3d4b26a076055c310a7cff5,2597,2
16,formik,770417a6aca45a34d9ffb64890b6e6540d93f9d0,2588,2
17,formik,f587ae895a9bbbb5f31acba9a41d3cb180df950b,2599,2
18,formik,09ee3ff897016cc7d6b1f34cbb692b83f4036214,2623,2
19,formik,9316a864478f8fcd4fa99a0735b1d37afdf507dc,2635,2
20,formik,1cf9a226b81e2d31507c7696fccdfc9d093c7040,2660,2
21,formik,399afc9197863cf795ab78d8efedd950c46ddbf0,2664,2
22,formik,265f7f534773baa1086d9632a48975de55187a38,2680,2
23,formik,3aa33dfd484f18c6808b09fc2a03a1e48c4abbf1,7930,34
24,formik,00acf558763085e048400ce9d1ef6f40cd8c5518,7958,34
25,socket.io,df05b73bb93d7c34c758504001f869cb156703d5,0,0
26,socket.io,47161a65d40c2587535de750ac4c7d448e5842ba,0,0
27,socket.io,873fdc55eddd672960fdbc1325ccb7c4bf466f05,0,0
28,socket.io,e6b869738c73fa0ce9928974d823e50cc92f7a1a,0,0
29,socket.io,1af3267e3f5f7884214cf2ca4d5282d620092fb0,1750,26
30,socket.io,0317a077be23d42333e2d192ffc5f0c215cc2901,1748,26
31,socket.io,9b6f9711daed32d7a6afc99d90042dfdf5e51a9f,1752,28
32,socket.io,06a2bd313a494f7891347a9ceffeadb1bcf37f8d,1752,28
33,socket.io,81c1f4e819cd59cca7064f963bea899feddacf44,1752,28
34,socket.io,f8a66fd11acffb72fcb90750affd5dce42bef977,2112,31
35,socket.io,f05a4a6f82af1d55291d54dafd731411fcb1b344,2136,31
36,socket.io,12221f296d52b3dcde34246bd1ada98871b4ada3,2161,29
37,socket.io,225ade062a13030164f89356b0a41f28203c3458,2165,29
38,socket.io,5eaeffc8e2244b73dd13fd2562c9684ad289997b,2789,31
39,socket.io,1faa7e3aea1414ec814aa935021356e8ed2b054c,2800,31
40,socket.io,9fff03487c81f36ce5d4502547fa690623c10fae,3408,44
41,socket.io,fb6b0efec9fcc154dc9131189d78fcfa0a6c7f46,3514,44
42,socket.io,995f38f4cc1f9a145a6e36dc7e18cab792fc6d36,3516,44
43,socket.io,1633150b2bcdebd3c39dc37f7329e84e9951a15e,3519,44
44,socket.io,dbd2a07cdad654c030d09c0e479703636d96f127,3512,44
45,socket.io,c100b7b61c569b029cd60f236748481c6f5c4cc6,3512,44
46,socket.io,95810aa62d2113db5cc052c857e808fb9b0d5518,3423,43
47,socket.io,ccc5ec39a8bc20d1273b1059e93a2162cae2d51a,3421,43
48,socket.io,ed8483da4d1fa44b9852caeb7d9390e94c25c887,3418,44
49,socket.io,0f11c4745f3bf4fba0a452a07e5df37427d06117,3699,47
50,apollo-client,86497ab3806e1ec1f78c37cbe8316c4fd68679ce,13737,141
51,apollo-client,550ec23afd30dcd35716b8d8bfb4578b8f101ef1,15195,169
52,apollo-client,45f604dac9a5d412c0d604b6e9bf56102110d21f,15199,169
53,apollo-client,d63d6e07c5b3cceab456c3d203dd7193ad4462dc,15204,169
54,apollo-client,b4b859b16aee1492522d87e6bacd9095f1b453df,15203,169
55,apollo-client,da4e9b95dcf11328cc568a5518151fb80de8f8df,15203,169
56,apollo-client,4630b6f0ac88774b7b6099b853fc70027685b97e,15211,169
57,apollo-client,2d8233f403bca70de8ad10959eec939419ac6a7c,15231,171
58,apollo-client,7661f9b3528ee3e4e24cdfcf88d3b8dba84a758e,15234,171
59,apollo-client,87ca9d8f8f80adcafc93b70913230b564d7e4ee3,15275,173
60,apollo-client,2ef9855d32794a8d4407480cba3be46d179cac28,15338,173
61,apollo-client,e1b7a9299eaaff3bd7c1a627ce3b973081be73ce,15330,176
62,apollo-client,abdd26e82084a0781347afcfdd9b1755a380bc2c,15333,176
63,apollo-client,3842e9ec6695350dafcf6c3c66d7febc89d9a760,15345,177
64,apollo-client,92141607ff6c650145350c222a2434cd7008e4b5,15363,177
65,apollo-client,ffaf81d51f79734b108449e49478cb6c28a93eb1,15397,176
66,apollo-client,8dbf8bcdf29621ac33f1b0205dc3b67fc9ecd76b,15414,176
67,apollo-client,eb9f62a9dfebe3e8418a9578ef66948e41a4fd56,15409,176
68,apollo-client,5227096d04687205bcc971245901d685941083c5,15440,203
69,apollo-client,030d2c178880a23724247a3f7b0a41ce4c0ef3c2,15440,203
70,apollo-client,630ec1f4b65d0c83986d47acf7bba7f906082304,15457,203
71,apollo-client,04663db2d12ecbf49118bf9ab989c2729bbf9c38,15435,203
72,apollo-client,524aba48a42527f38d04da4a638cca51cd3bd4a9,15460,204
73,apollo-client,7ef68245bb1285a87faf6c61d848d13018092490,15466,204
74,apollo-client,6a5ae8afe38dc7f5d477020e23dee36768968b63,15473,207
75,xstate,37cd313de6230b0b5079caa7bf2035c58e5ab0ec,9620,50
76,xstate,82727f5cfaca510d2c72bf8d149a3cb7e2e4bde6,9633,50
77,xstate,aa15b57fc998318a93c294703b9395f6f9ca6c46,9663,50
78,xstate,b331908773040b8d32fdb9335dd60a6c2198dc0b,9786,52
79,xstate,955355bf734693f15df165604d83c309c35c2703,9796,52
80,xstate,2236b9f3ca4c9c9c475d976cf375987eb11213fc,10177,52
81,xstate,ac284576e74d70c1bd92452b0ecb68e85f399177,10177,52
82,xstate,8330bb51d678aaad26c632cdb00b7ab90d177f9c,10189,52
83,xstate,021ec3327ea14783d068f6d4dc5a8e5f4393c00e,10198,52
84,xstate,660c692199000c1f70a96fb0c8afb3f1f0538d4c,10199,52
85,xstate,1df36306b49e844f474f46f5f96d9005abba2520,10255,52
86,xstate,d4b041979433a26e7db3a8fa6c6edc29c3813ed7,10275,52
87,xstate,c3af2a7eed93a7420fde43be19e3436d41a5a8d2,10648,74
88,xstate,07d85eca8bda2e6d458992d2a75a373c97365ec4,10932,75
89,xstate,8c1e01d24c4e632aa33a5e3e515bd101c2f7853a,11151,75
90,xstate,d803c3313047969fc9d1bb35274531c34b1c99e4,11259,76
91,xstate,0d6bd74baaebc0115eb41771c9717224b3113295,11259,76
92,xstate,8d7a02eef2d32d339baaf78c8a41e6b217316893,12284,77
93,xstate,b324f021d309e472fdb6de40e7a58d3f47b9206b,12281,77
94,xstate,8f9e134ac83ecb7c625b473de83c21b0ee38becc,12266,77
95,xstate,9bf5b15cd9d56483a102a25f58ba53753ae7a1db,12323,77
96,xstate,c521ed83d6ecbfd9c46bcf0b32cfb877d419cb22,12326,77
97,xstate,e32d240a6cee04af30060c729dc2523c2d6b41d0,12312,77
98,xstate,a7ef46476713376fe951c5d84791013d4da4f44e,12431,78
99,xstate,2c094d33dd8d5f5644e60c6054f1987f298f3d87,12263,78
100,blueprint,c1adc446fc606a998ac8141f30ee4f02d0f4d77a,22337,230
101,blueprint,9fe1e1ae918d493ec45a991052941029b8c55b63,22728,230
102,blueprint,250983a3c09cef0e548888a16e629836173dbacf,22833,230
103,blueprint,28ce452055704574e5e73f8c16b02650f7df8277,23175,232
104,blueprint,52de73aa7616c5b1ac7db76aa6ee4feedd7d777c,24043,235
105,blueprint,d53a72c53507fa8898762d97ea6eb04e0948cc58,24134,235
106,blueprint,299a92995e14ebe0a12947fee24a51c47cc73494,24199,235
107,blueprint,bf9560f54dbd5634129132551d2219ce5717ce8b,24460,237
108,blueprint,f5f6406ff773bf9b3c1733dc0fdb3bcf79d8012c,25653,237
109,blueprint,f65087e1248c49db14ae7e7682120fc1add093ae,26235,241
110,blueprint,482e7df79853bc5acf7a60a4997b2c1c8addef17,27178,241
111,blueprint,1b818e2d6872d206a3db41efa3c7c8ab1d2b7a24,27254,241
112,blueprint,02045aa0a966c2f2784e6ba2177d58354676b59a,28198,241
113,blueprint,ffa779793a77b44e644fcee61e7e04506b47be54,28198,241
114,blueprint,ce18c5d73f8dc9a1c308ce4170cbaf529829d7c4,28312,241
115,blueprint,fd8c319991a7e9a5b656b0dd40b6fc3ca1a90630,30638,244
116,blueprint,1d2371dd4b6544dfd96310e50ea97e4cb9a132fd,30650,244
117,blueprint,9b59069290e0536f1b08ed7fa5a6e87c5de37eaf,30687,244
118,blueprint,74619bdd4c24ee6f663d756a9b0a1133a5d156d8,31477,245
119,blueprint,45c07c597c716655a028f092e9966cc65b54b15f,31723,245
120,blueprint,2fcbdb61810697c57cb269845d74bd941a3a4abb,32702,247
121,blueprint,48ab7b784e7db2d7cc1a91e6490528ab9c564568,33343,249
122,blueprint,3f1f723fe0efce18683470e5c2a0188db7a033b9,33553,249
123,blueprint,ea8e64d8deb4f3b476daa24335e546d205dc4725,34404,250
124,blueprint,4a363aaff7a63d501d6808518867569bb8b6dc6d,34559,250
125,react-three-fiber,f3dcbf45268b9c21e475dcbb7acf4e00597a67ff,2375,6
