project,created_at,stargazers_count,forks_count,contributors_count,commits_count,tags_count,js_ratio,ts_ratio
socketio/socket.io,2010,54.9k,9.9k,179,1.9k,155,-,100.0%
ionic-team/ionic-framework,2013,45.8k,13.5k,405,11.3k,299,8.5%,42.8%
remix-run/react-router,2014,45.4k,8.8k,427,5.2k,173,9.8%,89.9%
vercel/hyper,2016,37.5k,3.1k,253,2.9k,108,2.3%,96.1%
nativefier/nativefier,2015,29.3k,1.9k,116,1.1k,133,9.7%,83.7%
formium/formik,2017,29.0k,2.4k,398,1.7k,225,5.4%,92.5%
facebook/docusaurus,2017,28.9k,3.9k,464,4.3k,133,9.8%,87.1%
streamich/react-use,2018,26.9k,2.1k,161,2.9k,255,0.5%,99.5%
tannerlinsley/react-query,2019,24.3k,1.3k,370,1.4k,418,0.7%,99.3%
JedWatson/react-select,2014,23.8k,3.8k,369,4.0k,140,0.9%,99.1%
akveo/ngx-admin,2016,23.3k,7.4k,31,0.5k,27,0.3%,67.2%
pmndrs/react-spring,2018,22.0k,1.0k,131,3.2k,232,2.0%,97.7%
balena-io/etcher,2015,21.9k,1.6k,64,2.9k,168,0.5%,97.7%
react-navigation/react-navigation,2017,20.7k,4.5k,117,1.7k,1689,0.6%,98.0%
railsware/upterm,2015,19.4k,0.7k,59,3.0k,260,-,96.2%
floating-ui/floating-ui,2016,19.0k,1.3k,41,1.1k,174,33.5%,65.0%
youzan/vant,2017,18.9k,9.2k,205,8.5k,467,8.5%,60.3%
marmelab/react-admin,2016,18.6k,4.1k,382,11.2k,229,5.0%,94.8%
reduxjs/reselect,2015,18.4k,0.7k,91,0.7k,35,1.8%,98.2%
palantir/blueprint,2016,18.4k,1.9k,281,2.2k,1252,2.2%,88.5%
statelyai/xstate,2015,18.3k,0.8k,252,4.4k,186,1.0%,97.4%
graphql/graphql-js,2015,18.2k,1.9k,173,3.1k,147,2.5%,97.3%
apollographql/apollo-client,2016,17.1k,2.3k,423,10.4k,1134,1.5%,98.5%
react-dnd/react-dnd,2014,16.9k,1.8k,184,2.2k,148,1.9%,96.6%
pubkey/rxdb,2016,16.7k,0.8k,130,6.3k,93,1.3%,98.5%
pmndrs/react-three-fiber,2019,16.0k,0.9k,129,1.9k,292,0.6%,99.2%
fingerprintjs/fingerprintjs,2015,15.5k,1.8k,72,0.7k,83,5.4%,92.7%
oldj/SwitchHosts,2011,15.4k,1.8k,24,1.2k,46,1.8%,53.7%
ustbhuangyi/better-scroll,2015,15.2k,2.6k,33,2.0k,84,4.7%,66.0%
flatpickr/flatpickr,2015,14.6k,1.3k,213,2.8k,147,-,92.9%
